ID,medv
3,31.22308323432555
6,25.567976317261852
8,19.369829121012422
9,11.091329004272072
10,18.948101050044066
18,16.902406843512374
20,18.257662810873214
25,15.463331452418629
26,12.869300857231002
27,15.239263463786688
29,19.68541982509763
30,21.20812364807404
33,8.548231674085605
34,13.68071492020934
36,23.172999009546984
37,21.7522553588169
38,23.081069882775513
42,29.427369255347234
49,8.228219851657101
53,28.143739755112907
60,20.490981697494945
63,23.415712646078696
70,20.914508440544626
72,21.99843181990249
79,21.395589301583552
80,22.459220167211395
83,25.70812652610901
92,27.13724208858967
93,27.800638416690962
96,28.487733058965574
98,36.42048246116792
99,36.31892644690811
100,32.70481908641483
105,20.825929549600882
106,17.554669197427845
111,20.879932751470484
113,20.254238116660964
114,20.36419689557696
116,19.902246139812846
126,21.39214476147205
130,13.90285135966289
131,20.29559317708256
133,20.302947771774715
136,17.539679831133263
141,13.773484666339362
144,13.903403166716142
145,10.040345244202392
147,16.75951912944307
152,19.462471689880555
153,20.19267854258027
156,20.69157534747648
158,33.34191545653354
163,40.38033814164156
169,26.127500975681148
185,21.227662823958127
186,24.154467884578924
189,31.922267430844638
196,40.08372307284337
197,35.695161434788275
199,34.21298984520591
200,29.63980572811107
203,37.005658668190236
208,17.35300375414848
210,14.631444170088788
211,20.495079517559645
213,21.397184116442162
216,24.638868829300115
218,28.162325382427213
219,23.0550099521523
220,28.155558481110425
221,31.63143694918611
229,36.83353748450912
232,33.39182388750845
238,33.080927720601004
239,28.41918114741241
240,28.07635613389226
242,22.72175772049062
246,12.714768109249924
248,19.299579325074255
253,26.47199572514555
255,23.178392707561887
256,21.040152920948323
257,36.035300475350915
258,44.51362974573193
259,36.47841051524183
260,34.659698610236724
268,41.73910257546176
270,23.51660608467602
271,21.58734111313116
276,32.9005638296529
277,34.083454745420596
278,33.40360941529241
279,29.432216210190298
281,38.653657327790214
288,26.08758762597127
290,26.364421138118743
292,32.827808943568016
295,24.428799615509952
296,29.232090479716398
299,28.380769013724986
300,31.899923544680288
301,29.971104875444748
308,31.113517756743974
314,25.29751653681016
315,25.502878594128337
320,21.760636514007256
322,25.07124348732696
323,22.988982002556238
324,18.893307731642132
327,24.58155850569888
330,25.740653859285295
332,19.9204861009746
333,23.442492289999674
336,21.373667862670217
338,19.373083172230025
346,17.681925388914912
347,15.742286843013398
351,21.15701373486816
352,21.191634982615263
354,24.758453752173523
355,13.758699585751227
356,16.219236609019603
362,19.556727653616385
364,19.500841551021082
365,38.43408298940187
370,31.061337279724082
376,26.799030804376407
379,17.183756744458364
380,17.50751004613797
381,21.12466936077199
382,19.28748319234679
386,8.417499600621543
389,6.262898170909697
391,17.043241030212613
394,20.49870211748292
396,20.675032214366343
398,16.115942648922434
400,11.33267606433363
403,18.615754452614635
405,9.805918663164933
406,12.501899678649611
407,7.2107852235934775
410,19.49613507160236
411,16.170911826252787
412,16.071192569420266
413,-0.08151616761497493
417,13.324645345143962
421,20.08787757799089
422,18.114042083239504
423,17.821311570442074
424,11.864163252146627
427,15.39985669033689
431,16.998802255065428
436,13.953612164950723
437,14.90224375810285
439,5.2682147808799265
447,18.117946999533476
450,17.570121866646154
451,16.3199952565387
455,15.335623597491963
457,11.976596697617902
471,19.689640637827644
474,26.049177800741514
476,15.20285230786732
483,28.528102648483852
486,22.603889112541726
490,8.452938894745348
495,21.247104316531072
496,17.77742040865059
497,13.9073618526274
499,21.544219293619037
501,20.48562081327887
505,26.242882720426934
